Zeit,Zeit(s),Farbe 1 (most),Farbe 2,Farbe 3 (least)
0:00-0:10,0-9,blue,light blue,light rosé
0:10-0:13,10-12,purple blue,light blue,light rosé
0:13-0:17,13-16,pink,purple blue,light rosé
0:17-0:25,17-24,blue,light blue,pink
0:25-0:28,25-27,light blue,dark blue,light rosé
0:28-0:38,28-37,dark blue,light blue,light rosé
0:38-0:44,38-43,purple,dark blue,light rosé
0:44-0:53,44-52,dark blue,light rosé,blue
0:53-0:59,53-58,light blue,blue,white
0:59-1:09,59-68,white,light teal,teal
1:09-1:15,69-74,white,light blue,dark blue
1:15-1:18,75-77,light purple,dark blue,white
1:18-1:24,78-83,dark blue,purple blue,white
1:24-1:30,84-89,dark purple,light rosé ,white
1:30-1:34,90-93,blue,purple blue,white
1:34-1:41,94-100,dark blue,light blue,white
1:41-1:46,101-105,light green,light blue,white
1:46-1:52,106-111,white,light blue,light yellow
1:52-2:02,112-121,light green,light blue,white
2:02-2:07,122-126,light blue,white,
2:07-2:10,127-129,grey blue,white,